"KBN","ID","NM","ENUM","EYOBI"
"1",1,"CSV-PATH",0,"C:\"
"A",10,"樹脂分",0,
"A",20,"抗折力X",0,
"A",30,"抗折力R",0,
"A",40,"粘着点",0,
"A",50,"m14",1,
"A",60,"m18.5",1,
"A",70,"m26",1,
"A",80,"m36",1,
"A",90,"m50",1,
"A",100,"m70",1,
"A",110,"m100",1,
"A",120,"m140",1,
"A",130,"m200",1,
"A",140,"m280",1,
"A",150,"mPAN",1,
"A",160,"AFS.FN",0,
