"PRODUCT","NOUSCD","NUM","MIN","MAX"
"AYE-25N","999-9999",70,1.80,2.20
"AYE-25N","999-9999",80,11.70,13.90
"AYE-25N","999-9999",90,26.00,30.00
"AYE-25N","999-9999",100,31.90,37.90
"AYE-25N","999-9999",110,16.60,18.60
"AYE-25N","999-9999",120,3.50,4.20
"AYE-25N","999-9999",130,0.80,1.00
"AYE-25N","999-9999",140,0.10,0.20
"AYE-25N","999-9999",150,0.00,0.00
"AYE-25N","999-9999",160,0.00,0.00
"AYE-30","999-9999",10,3.00,0.00
"AYE-30","999-9999",20,57.60,62.40
"AYE-30","999-9999",30,0.30,5.00
"AYE-30","999-9999",40,100.00,103.00
"AYE-30","999-9999",50,0.00,0.00
"AYE-30","999-9999",60,0.00,0.00
"AYE-30","999-9999",70,1.20,2.00
"AYE-30","999-9999",80,10.50,12.50
"AYE-30","999-9999",90,25.00,29.00
"AYE-30","999-9999",100,32.00,36.00
"AYE-30","999-9999",110,17.50,20.50
"AYE-30","999-9999",120,4.50,6.50
"AYE-30","999-9999",130,0.70,1.30
"AYE-30","999-9999",140,0.10,0.20
"AYE-30","999-9999",150,0.00,0.00
"AYE-30","999-9999",160,0.00,0.00
"B-14U8","999-9999",10,1.40,0.00
"B-14U8","999-9999",20,25.00,30.00
"B-14U8","999-9999",30,0.40,3.80
"B-14U8","999-9999",40,117.00,123.00
"B-14U8","999-9999",50,0.00,0.00
"B-14U8","999-9999",60,0.00,0.00
"B-14U8","999-9999",70,0.00,0.50
"B-14U8","999-9999",80,1.80,5.00
"B-14U8","999-9999",90,16.50,23.00
"B-14U8","999-9999",100,32.00,35.00
"B-14U8","999-9999",110,33.00,36.00
"B-14U8","999-9999",120,5.80,9.50
"B-14U8","999-9999",130,0.60,1.50
"B-14U8","999-9999",140,0.00,0.30
"B-14U8","999-9999",150,0.00,0.10
"B-14U8","999-9999",160,56.00,63.00
"B-18CW","999-9999",10,1.80,0.00
"B-18CW","999-9999",20,45.00,55.00
"B-18CW","999-9999",30,0.80,5.00
"B-18CW","999-9999",40,100.00,107.00
"B-18CW","999-9999",50,0.00,0.00
"B-18CW","999-9999",60,0.00,0.00
"B-18CW","999-9999",70,0.20,0.60
"B-18CW","999-9999",80,4.70,6.70
"B-18CW","999-9999",90,16.00,19.00
"B-18CW","999-9999",100,32.50,35.50
"B-18CW","999-9999",110,28.20,32.20
"B-18CW","999-9999",120,9.30,12.30
"B-18CW","999-9999",130,1.20,2.20
"B-18CW","999-9999",140,0.10,0.40
"B-18CW","999-9999",150,0.00,0.10
"B-18CW","999-9999",160,0.00,0.00
"B-18X","999-9999",10,1.80,0.00
"B-18X","999-9999",20,53.00,63.00
"B-18X","999-9999",30,0.80,4.80
"B-18X","999-9999",40,90.00,100.00
"B-18X","999-9999",50,0.00,0.00
"B-18X","999-9999",60,0.00,0.00
"B-18X","999-9999",70,0.10,0.50
"B-18X","999-9999",80,1.50,4.00
"B-18X","999-9999",90,8.00,15.00
"B-18X","999-9999",100,24.00,31.00
"B-18X","999-9999",110,36.00,42.00
"B-18X","999-9999",120,14.00,18.00
"B-18X","999-9999",130,3.00,6.00
"B-18X","999-9999",140,0.40,1.50
"B-18X","999-9999",150,0.00,0.10
"B-18X","999-9999",160,63.00,73.00
"B-20","999-9999",10,2.00,0.00
"B-20","999-9999",20,36.70,39.30
"B-20","999-9999",30,0.50,2.70
"B-20","999-9999",40,100.00,105.00
"B-20","999-9999",50,0.00,0.00
"B-20","999-9999",60,0.00,0.00
"B-20","999-9999",70,0.20,0.60
"B-20","999-9999",80,4.70,6.70
"B-20","999-9999",90,16.00,19.00
"B-20","999-9999",100,32.50,35.50
"B-20","999-9999",110,28.20,32.20
"B-20","999-9999",120,9.30,12.30
"B-20","999-9999",130,1.20,2.20
"B-20","999-9999",140,0.20,0.40
"B-20","999-9999",150,0.00,0.10
"B-20","999-9999",160,0.00,0.00
"B-20A","999-9999",10,2.00,0.00
"B-20A","999-9999",20,29.60,32.60
"B-20A","999-9999",30,0.30,3.00
"B-20A","999-9999",40,107.00,110.00
"B-20A","999-9999",50,0.00,0.00
"B-20A","999-9999",60,0.00,0.00
"B-20A","999-9999",70,0.20,0.60
"B-20A","999-9999",80,4.70,6.70
"B-20A","999-9999",90,16.00,19.00
"B-20A","999-9999",100,32.50,35.50
"B-20A","999-9999",110,28.20,32.20
"B-20A","999-9999",120,9.30,12.30
"B-20A","999-9999",130,1.20,2.20
"B-20A","999-9999",140,0.10,0.40
"B-20A","999-9999",150,0.00,0.10
"B-20A","999-9999",160,0.00,0.00
"B-20D","999-9999",10,2.00,0.00
"B-20D","999-9999",20,56.00,70.00
"B-20D","999-9999",30,0.30,5.00
"B-20D","999-9999",40,98.00,103.00
"B-20D","999-9999",50,0.00,0.00
"B-20D","999-9999",60,0.00,0.00
"B-20D","999-9999",70,0.20,0.60
"B-20D","999-9999",80,4.70,6.70
"B-20D","999-9999",90,16.00,19.00
"B-20D","999-9999",100,32.50,35.50
"B-20D","999-9999",110,28.20,32.20
"B-20D","999-9999",120,9.30,12.30
"B-20D","999-9999",130,1.20,2.20
"B-20D","999-9999",140,0.10,0.40
"B-20D","999-9999",150,0.00,0.10
"B-20D","999-9999",160,0.00,0.00
"B-20DNT","999-9999",10,2.00,0.00
"B-20DNT","999-9999",20,45.00,55.00
"B-20DNT","999-9999",30,0.40,6.00
"B-20DNT","999-9999",40,98.00,108.00
"B-20DNT","999-9999",50,0.00,0.00
"B-20DNT","999-9999",60,0.00,0.00
"B-20DNT","999-9999",70,0.20,0.60
"B-20DNT","999-9999",80,4.70,6.70
"B-20DNT","999-9999",90,16.00,19.00
"B-20DNT","999-9999",100,32.50,35.50
"B-20DNT","999-9999",110,28.20,32.20
"B-20DNT","999-9999",120,9.30,12.30
"B-20DNT","999-9999",130,1.20,2.20
"B-20DNT","999-9999",140,0.10,0.40
"B-20DNT","999-9999",150,0.00,0.10
"B-20DNT","999-9999",160,0.00,0.00
"B-20S","999-9999",10,2.00,0.00
"B-20S","999-9999",20,32.60,35.40
"B-20S","999-9999",30,0.30,3.00
"B-20S","999-9999",40,107.00,110.00
"B-20S","999-9999",50,0.00,0.00
"B-20S","999-9999",60,0.00,0.00
"B-20S","999-9999",70,0.20,0.60
"B-20S","999-9999",80,4.70,6.70
"B-20S","999-9999",90,16.00,19.00
"B-20S","999-9999",100,32.50,35.50
"B-20S","999-9999",110,28.20,32.20
"B-20S","999-9999",120,9.30,12.30
"B-20S","999-9999",130,1.20,2.20
"B-20S","999-9999",140,0.10,0.40
"B-20S","999-9999",150,0.00,0.10
"B-20S","999-9999",160,0.00,0.00
"B-20U10","999-9999",10,2.00,0.00
"B-20U10","999-9999",20,35.00,45.00
"B-20U10","999-9999",30,0.60,5.00
"B-20U10","999-9999",40,115.00,125.00
"B-20U10","999-9999",50,0.00,0.00
"B-20U10","999-9999",60,0.00,0.10
"B-20U10","999-9999",70,0.30,1.00
"B-20U10","999-9999",80,4.00,5.50
"B-20U10","999-9999",90,16.50,19.00
"B-20U10","999-9999",100,28.00,33.00
"B-20U10","999-9999",110,33.00,37.00
"B-20U10","999-9999",120,7.50,11.00
"B-20U10","999-9999",130,0.30,1.00
"B-20U10","999-9999",140,0.10,0.20
"B-20U10","999-9999",150,0.00,0.00
"B-20U10","999-9999",160,55.00,65.00
"B-20U5","999-9999",10,2.00,0.00
"B-20U5","999-9999",20,35.00,45.00
"B-20U5","999-9999",30,0.60,5.00
"B-20U5","999-9999",40,115.00,125.00
"B-20U5","999-9999",50,0.00,0.00
"B-20U5","999-9999",60,0.00,0.10
"B-20U5","999-9999",70,0.30,1.00
"B-20U5","999-9999",80,4.00,5.50
"B-20U5","999-9999",90,16.50,19.00
"B-20U5","999-9999",100,28.00,33.00
"B-20U5","999-9999",110,33.00,37.00
"B-20U5","999-9999",120,7.50,11.00
"B-20U5","999-9999",130,0.30,1.00
"B-20U5","999-9999",140,0.10,0.20
"B-20U5","999-9999",150,0.00,0.00
"B-20U5","999-9999",160,55.00,65.00
"B-21CDR","999-9999",10,2.10,0.00
"B-21CDR","999-9999",20,40.50,48.50
"B-21CDR","999-9999",30,0.30,3.50
"B-21CDR","999-9999",40,100.00,105.00
"B-21CDR","999-9999",50,0.00,0.00
"B-21CDR","999-9999",60,0.00,0.00
"B-21CDR","999-9999",70,0.20,0.60
"B-21CDR","999-9999",80,4.70,6.70
"B-21CDR","999-9999",90,16.00,19.00
"B-21CDR","999-9999",100,32.50,35.50
"B-21CDR","999-9999",110,28.20,32.20
"B-21CDR","999-9999",120,9.30,12.30
"B-21CDR","999-9999",130,1.20,2.20
"B-21CDR","999-9999",140,0.10,0.40
"B-21CDR","999-9999",150,0.00,0.10
"B-21CDR","999-9999",160,0.00,0.00
"B-22CW","999-9999",10,2.20,0.00
"B-22CW","999-9999",20,56.00,66.00
"B-22CW","999-9999",30,0.30,5.00
"B-22CW","999-9999",40,98.00,105.00
"B-22CW","999-9999",50,0.00,0.00
"B-22CW","999-9999",60,0.00,0.00
"B-22CW","999-9999",70,0.20,0.60
"B-22CW","999-9999",80,4.70,6.70
"B-22CW","999-9999",90,16.00,19.00
"B-22CW","999-9999",100,32.50,35.50
"B-22CW","999-9999",110,28.20,32.20
"B-22CW","999-9999",120,9.30,12.30
"B-22CW","999-9999",130,1.20,2.20
"B-22CW","999-9999",140,0.10,0.40
"B-22CW","999-9999",150,0.00,0.10
"B-22CW","999-9999",160,56.00,64.00
"B-22D5","999-9999",10,2.20,0.00
"B-22D5","999-9999",20,38.00,48.00
"B-22D5","999-9999",30,0.30,4.00
"B-22D5","999-9999",40,97.00,101.00
"B-22D5","999-9999",50,0.00,0.00
"B-22D5","999-9999",60,0.00,0.00
"B-22D5","999-9999",70,0.20,0.60
"B-22D5","999-9999",80,4.70,6.70
"B-22D5","999-9999",90,16.00,19.00
"B-22D5","999-9999",100,32.50,35.50
"B-22D5","999-9999",110,28.20,32.20
"B-22D5","999-9999",120,9.30,12.30
"B-22D5","999-9999",130,1.20,2.20
"B-22D5","999-9999",140,0.10,0.40
"B-22D5","999-9999",150,0.00,0.10
"B-22D5","999-9999",160,0.00,0.00
"B-22U","999-9999",10,2.20,0.00
"B-22U","999-9999",20,40.00,48.00
"B-22U","999-9999",30,0.20,3.00
"B-22U","999-9999",40,113.00,118.00
"B-22U","999-9999",50,0.00,0.00
"B-22U","999-9999",60,0.00,0.00
"B-22U","999-9999",70,0.20,0.60
"B-22U","999-9999",80,4.70,6.70
"B-22U","999-9999",90,16.00,19.00
"B-22U","999-9999",100,32.50,35.50
"B-22U","999-9999",110,28.20,32.20
"B-22U","999-9999",120,9.30,12.30
"B-22U","999-9999",130,1.20,2.20
"B-22U","999-9999",140,0.10,0.40
"B-22U","999-9999",150,0.00,0.10
"B-22U","999-9999",160,0.00,0.00
"B-22W","999-9999",10,2.20,0.00
"B-22W","999-9999",20,58.00,66.00
"B-22W","999-9999",30,2.00,5.00
"B-22W","999-9999",40,99.00,104.00
"B-22W","999-9999",50,0.00,0.00
"B-22W","999-9999",60,0.00,0.00
"B-22W","999-9999",70,0.20,0.60
"B-22W","999-9999",80,4.70,6.70
"B-22W","999-9999",90,16.00,19.00
"B-22W","999-9999",100,32.50,35.50
"B-22W","999-9999",110,28.20,32.20
"B-22W","999-9999",120,9.30,12.30
"B-22W","999-9999",130,1.20,2.00
"B-22W","999-9999",140,0.10,0.30
"B-22W","999-9999",150,0.00,0.10
"B-22W","999-9999",160,57.00,62.00
"B-23CJ","999-9999",10,2.30,0.00
"B-23CJ","999-9999",20,67.00,75.00
"B-23CJ","999-9999",30,1.00,4.00
"B-23CJ","999-9999",40,98.00,104.00
"B-23CJ","999-9999",50,0.00,0.00
"B-23CJ","999-9999",60,0.00,0.00
"B-23CJ","999-9999",70,0.20,0.60
"B-23CJ","999-9999",80,4.70,6.70
"B-23CJ","999-9999",90,16.00,19.00
"B-23CJ","999-9999",100,32.50,35.50
"B-23CJ","999-9999",110,28.20,32.20
"B-23CJ","999-9999",120,9.30,12.30
"B-23CJ","999-9999",130,1.20,2.20
"B-23CJ","999-9999",140,0.10,0.40
"B-23CJ","999-9999",150,0.00,0.10
"B-23CJ","999-9999",160,0.00,0.00
"B-23D","999-9999",10,2.30,0.00
"B-23D","999-9999",20,58.00,68.00
"B-23D","999-9999",30,1.00,5.00
"B-23D","999-9999",40,98.00,104.00
"B-23D","999-9999",50,0.00,0.00
"B-23D","999-9999",60,0.00,0.20
"B-23D","999-9999",70,0.20,0.80
"B-23D","999-9999",80,4.80,6.80
"B-23D","999-9999",90,6.80,21.50
"B-23D","999-9999",100,32.50,35.50
"B-23D","999-9999",110,27.50,30.50
"B-23D","999-9999",120,6.50,9.50
"B-23D","999-9999",130,0.80,1.80
"B-23D","999-9999",140,0.10,0.30
"B-23D","999-9999",150,0.00,0.10
"B-23D","999-9999",160,0.00,0.00
"B-23DK","999-9999",10,2.30,0.00
"B-23DK","999-9999",20,55.00,65.00
"B-23DK","999-9999",30,0.60,6.00
"B-23DK","999-9999",40,95.00,100.00
"B-23DK","999-9999",50,0.00,0.00
"B-23DK","999-9999",60,0.00,0.20
"B-23DK","999-9999",70,0.20,0.80
"B-23DK","999-9999",80,4.80,6.80
"B-23DK","999-9999",90,6.80,21.50
"B-23DK","999-9999",100,32.50,35.50
"B-23DK","999-9999",110,27.50,30.50
"B-23DK","999-9999",120,6.50,9.50
"B-23DK","999-9999",130,0.80,1.80
"B-23DK","999-9999",140,0.10,0.30
"B-23DK","999-9999",150,0.00,0.10
"B-23DK","999-9999",160,0.00,0.00
"B-23J","999-9999",10,2.30,0.00
"B-23J","999-9999",20,68.00,78.00
"B-23J","999-9999",30,1.00,4.00
"B-23J","999-9999",40,95.00,105.00
"B-23J","999-9999",50,0.00,0.00
"B-23J","999-9999",60,0.00,0.00
"B-23J","999-9999",70,0.20,0.60
"B-23J","999-9999",80,4.70,6.70
"B-23J","999-9999",90,16.00,19.00
"B-23J","999-9999",100,32.50,35.50
"B-23J","999-9999",110,28.20,32.20
"B-23J","999-9999",120,9.30,12.30
"B-23J","999-9999",130,1.20,2.20
"B-23J","999-9999",140,0.10,0.40
"B-23J","999-9999",150,0.00,0.10
"B-23J","999-9999",160,56.00,64.00
"B-23JR","999-9999",10,2.30,0.00
"B-23JR","999-9999",20,65.00,75.00
"B-23JR","999-9999",30,1.00,4.00
"B-23JR","999-9999",40,95.00,105.00
"B-23JR","999-9999",50,0.00,0.00
"B-23JR","999-9999",60,0.00,0.00
"B-23JR","999-9999",70,0.20,0.60
"B-23JR","999-9999",80,4.70,6.70
"B-23JR","999-9999",90,16.00,19.00
"B-23JR","999-9999",100,32.50,35.50
"B-23JR","999-9999",110,28.20,32.20
"B-23JR","999-9999",120,9.30,12.30
"B-23JR","999-9999",130,1.20,2.20
"B-23JR","999-9999",140,0.10,0.40
"B-23JR","999-9999",150,0.00,0.10
"B-23JR","999-9999",160,0.00,0.00
"B-23S8","999-9999",10,2.30,0.00
"B-23S8","999-9999",20,37.40,40.60
"B-23S8","999-9999",30,0.30,3.00
"B-23S8","999-9999",40,103.00,106.00
"B-23S8","999-9999",50,0.00,0.00
"B-23S8","999-9999",60,0.00,0.00
"B-23S8","999-9999",70,0.20,0.60
"B-23S8","999-9999",80,4.70,6.70
"B-23S8","999-9999",90,16.00,19.00
"B-23S8","999-9999",100,32.50,35.50
"B-23S8","999-9999",110,28.20,32.20
"B-23S8","999-9999",120,9.30,12.30
"B-23S8","999-9999",130,1.20,2.20
"B-23S8","999-9999",140,0.10,0.40
"B-23S8","999-9999",150,0.00,0.10
"B-23S8","999-9999",160,0.00,0.00
"B-23S8カイ","999-9999",10,2.30,0.00
"B-23S8カイ","999-9999",20,35.00,45.00
"B-23S8カイ","999-9999",30,0.00,15.00
"B-23S8カイ","999-9999",40,100.00,110.00
"B-23S8カイ","999-9999",50,0.00,10.00
"B-23S8カイ","999-9999",60,0.00,70.00
"B-23S8カイ","999-9999",70,0.00,70.00
"B-23S8カイ","999-9999",80,0.00,70.00
"B-23S8カイ","999-9999",90,0.00,70.00
"B-23S8カイ","999-9999",100,0.00,70.00
"B-23S8カイ","999-9999",110,0.00,70.00
"B-23S8カイ","999-9999",120,0.00,70.00
"B-23S8カイ","999-9999",130,0.00,70.00
"B-23S8カイ","999-9999",140,0.00,70.00
"B-23S8カイ","999-9999",150,0.00,10.00
"B-23S8カイ","999-9999",160,58.00,68.00
"B-23U","999-9999",10,2.30,0.00
"B-23U","999-9999",20,44.00,52.00
"B-23U","999-9999",30,1.00,4.00
"B-23U","999-9999",40,112.00,117.00
"B-23U","999-9999",50,0.00,0.00
"B-23U","999-9999",60,0.00,0.00
"B-23U","999-9999",70,0.20,0.60
"B-23U","999-9999",80,4.70,6.70
"B-23U","999-9999",90,16.00,19.00
"B-23U","999-9999",100,32.50,35.50
"B-23U","999-9999",110,28.20,32.20
"B-23U","999-9999",120,9.30,12.30
"B-23U","999-9999",130,1.20,2.20
"B-23U","999-9999",140,0.10,0.40
"B-23U","999-9999",150,0.00,0.10
"B-23U","999-9999",160,0.00,0.00
"B-23W8","999-9999",10,2.30,0.00
"B-23W8","999-9999",20,47.50,52.50
"B-23W8","999-9999",30,2.00,5.00
"B-23W8","999-9999",40,104.00,108.00
"B-23W8","999-9999",50,0.00,0.00
"B-23W8","999-9999",60,0.00,0.00
"B-23W8","999-9999",70,0.20,0.60
"B-23W8","999-9999",80,4.70,6.70
"B-23W8","999-9999",90,16.00,19.00
"B-23W8","999-9999",100,32.50,35.50
"B-23W8","999-9999",110,28.20,32.20
"B-23W8","999-9999",120,9.30,14.30
"B-23W8","999-9999",130,1.20,3.00
"B-23W8","999-9999",140,0.10,0.30
"B-23W8","999-9999",150,0.00,0.10
"B-23W8","999-9999",160,54.00,66.00
"B-24D","999-9999",10,2.40,0.00
"B-24D","999-9999",20,63.00,70.00
"B-24D","999-9999",30,0.30,5.00
"B-24D","999-9999",40,97.00,101.00
"B-24D","999-9999",50,0.00,0.00
"B-24D","999-9999",60,0.00,0.00
"B-24D","999-9999",70,0.20,0.60
"B-24D","999-9999",80,4.70,6.70
"B-24D","999-9999",90,16.00,19.00
"B-24D","999-9999",100,32.50,35.50
"B-24D","999-9999",110,28.20,32.20
"B-24D","999-9999",120,9.30,12.30
"B-24D","999-9999",130,1.20,2.20
"B-24D","999-9999",140,0.10,0.40
"B-24D","999-9999",150,0.00,0.10
"B-24D","999-9999",160,0.00,0.00
"B-24Hカイ2","999-9999",10,2.40,0.00
"B-24Hカイ2","999-9999",20,59.50,64.50
"B-24Hカイ2","999-9999",30,0.30,5.00
"B-24Hカイ2","999-9999",40,98.00,101.00
"B-24Hカイ2","999-9999",50,0.00,0.00
"B-24Hカイ2","999-9999",60,0.00,0.20
"B-24Hカイ2","999-9999",70,0.20,0.80
"B-24Hカイ2","999-9999",80,4.80,6.80
"B-24Hカイ2","999-9999",90,16.80,21.50
"B-24Hカイ2","999-9999",100,32.50,35.50
"B-24Hカイ2","999-9999",110,27.50,30.50
"B-24Hカイ2","999-9999",120,6.50,9.50
"B-24Hカイ2","999-9999",130,0.80,1.80
"B-24Hカイ2","999-9999",140,0.10,0.30
"B-24Hカイ2","999-9999",150,0.00,0.10
"B-24Hカイ2","999-9999",160,0.00,0.00
"B-24J","999-9999",10,2.40,0.00
"B-24J","999-9999",20,75.00,85.00
"B-24J","999-9999",30,2.00,6.00
"B-24J","999-9999",40,95.00,102.00
"B-24J","999-9999",50,0.00,0.00
"B-24J","999-9999",60,0.00,0.00
"B-24J","999-9999",70,0.20,0.60
"B-24J","999-9999",80,4.70,6.70
"B-24J","999-9999",90,16.00,19.00
"B-24J","999-9999",100,32.50,35.50
"B-24J","999-9999",110,28.20,32.20
"B-24J","999-9999",120,9.30,12.30
"B-24J","999-9999",130,1.20,2.20
"B-24J","999-9999",140,0.10,0.40
"B-24J","999-9999",150,0.00,0.10
"B-24J","999-9999",160,0.00,0.00
"B-24W","999-9999",10,2.40,0.00
"B-24W","999-9999",20,60.00,70.00
"B-24W","999-9999",30,1.00,5.00
"B-24W","999-9999",40,98.00,105.00
"B-24W","999-9999",50,0.00,0.00
"B-24W","999-9999",60,0.00,0.00
"B-24W","999-9999",70,0.20,0.60
"B-24W","999-9999",80,4.00,10.00
"B-24W","999-9999",90,18.00,21.00
"B-24W","999-9999",100,32.20,35.20
"B-24W","999-9999",110,27.50,30.50
"B-24W","999-9999",120,7.50,10.50
"B-24W","999-9999",130,1.00,2.00
"B-24W","999-9999",140,0.20,0.40
"B-24W","999-9999",150,0.00,0.10
"B-24W","999-9999",160,0.00,0.00
"B-25","999-9999",10,2.50,0.00
"B-25","999-9999",20,49.90,54.10
"B-25","999-9999",30,0.30,4.00
"B-25","999-9999",40,101.00,104.00
"B-25","999-9999",50,0.00,0.00
"B-25","999-9999",60,0.00,0.00
"B-25","999-9999",70,0.20,0.60
"B-25","999-9999",80,4.70,6.70
"B-25","999-9999",90,16.00,19.00
"B-25","999-9999",100,32.50,35.50
"B-25","999-9999",110,28.20,32.20
"B-25","999-9999",120,9.30,12.30
"B-25","999-9999",130,1.20,2.20
"B-25","999-9999",140,0.10,0.40
"B-25","999-9999",150,0.00,0.10
"B-25","999-9999",160,0.00,0.00
"B-25BR","999-9999",10,2.50,0.00
"B-25BR","999-9999",20,53.80,58.20
"B-25BR","999-9999",30,0.30,4.00
"B-25BR","999-9999",40,97.00,100.00
"B-25BR","999-9999",50,0.00,0.00
"B-25BR","999-9999",60,0.00,0.00
"B-25BR","999-9999",70,0.20,0.60
"B-25BR","999-9999",80,4.70,6.70
"B-25BR","999-9999",90,16.00,19.00
"B-25BR","999-9999",100,32.50,35.50
"B-25BR","999-9999",110,28.20,32.20
"B-25BR","999-9999",120,9.30,12.30
"B-25BR","999-9999",130,1.20,2.20
"B-25BR","999-9999",140,0.10,0.40
"B-25BR","999-9999",150,0.00,0.10
"B-25BR","999-9999",160,0.00,0.00
"B-25C","999-9999",10,2.50,0.00
"B-25C","999-9999",20,48.00,58.00
"B-25C","999-9999",30,0.30,4.00
"B-25C","999-9999",40,95.00,105.00
"B-25C","999-9999",50,0.00,0.00
"B-25C","999-9999",60,0.00,0.00
"B-25C","999-9999",70,0.20,0.60
"B-25C","999-9999",80,4.70,6.70
"B-25C","999-9999",90,16.00,19.00
"B-25C","999-9999",100,32.50,35.50
"B-25C","999-9999",110,28.20,32.20
"B-25C","999-9999",120,9.30,12.30
"B-25C","999-9999",130,1.20,2.20
"B-25C","999-9999",140,0.10,0.40
"B-25C","999-9999",150,0.00,0.10
"B-25C","999-9999",160,56.00,65.00
"B-25DN","999-9999",10,2.50,0.00
"B-25DN","999-9999",20,56.00,65.00
"B-25DN","999-9999",30,1.00,4.00
"B-25DN","999-9999",40,98.00,105.00
"B-25DN","999-9999",50,0.00,0.00
"B-25DN","999-9999",60,0.00,0.00
"B-25DN","999-9999",70,0.20,0.60
"B-25DN","999-9999",80,4.70,6.70
"B-25DN","999-9999",90,16.00,19.00
"B-25DN","999-9999",100,32.50,35.50
"B-25DN","999-9999",110,28.20,32.20
"B-25DN","999-9999",120,9.30,12.30
"B-25DN","999-9999",130,1.20,2.20
"B-25DN","999-9999",140,0.10,0.40
"B-25DN","999-9999",150,0.00,0.10
"B-25DN","999-9999",160,0.00,0.00
"B-25DR","999-9999",10,2.50,0.00
"B-25DR","999-9999",20,56.60,61.40
"B-25DR","999-9999",30,0.30,4.00
"B-25DR","999-9999",40,98.00,101.00
"B-25DR","999-9999",50,0.00,0.00
"B-25DR","999-9999",60,0.00,0.00
"B-25DR","999-9999",70,0.20,0.60
"B-25DR","999-9999",80,4.70,6.70
"B-25DR","999-9999",90,16.00,19.00
"B-25DR","999-9999",100,32.50,35.50
"B-25DR","999-9999",110,28.20,32.20
"B-25DR","999-9999",120,9.30,12.30
"B-25DR","999-9999",130,1.20,2.20
"B-25DR","999-9999",140,0.10,0.40
"B-25DR","999-9999",150,0.00,0.10
"B-25DR","999-9999",160,0.00,0.00
"B-25HR","999-9999",10,2.50,0.00
"B-25HR","999-9999",20,53.80,58.20
"B-25HR","999-9999",30,0.30,4.00
"B-25HR","999-9999",40,96.00,99.00
"B-25HR","999-9999",50,0.00,0.00
"B-25HR","999-9999",60,0.00,0.00
"B-25HR","999-9999",70,0.20,0.60
"B-25HR","999-9999",80,4.70,6.70
"B-25HR","999-9999",90,16.00,19.00
"B-25HR","999-9999",100,32.50,35.50
"B-25HR","999-9999",110,28.20,32.20
"B-25HR","999-9999",120,9.30,12.30
"B-25HR","999-9999",130,1.20,2.20
"B-25HR","999-9999",140,0.10,0.40
"B-25HR","999-9999",150,0.00,0.10
"B-25HR","999-9999",160,0.00,0.00
"B-26CD","999-9999",10,2.60,0.00
"B-26CD","999-9999",20,71.00,77.00
"B-26CD","999-9999",30,0.30,5.00
"B-26CD","999-9999",40,96.00,99.00
"B-26CD","999-9999",50,0.00,0.00
"B-26CD","999-9999",60,0.00,0.20
"B-26CD","999-9999",70,0.20,0.80
"B-26CD","999-9999",80,4.80,6.80
"B-26CD","999-9999",90,16.80,21.50
"B-26CD","999-9999",100,32.50,35.50
"B-26CD","999-9999",110,27.50,30.50
"B-26CD","999-9999",120,6.50,9.50
"B-26CD","999-9999",130,0.80,1.80
"B-26CD","999-9999",140,0.10,0.30
"B-26CD","999-9999",150,0.00,0.10
"B-26CD","999-9999",160,0.00,0.00
"B-26D","999-9999",10,2.65,0.00
"B-26D","999-9999",20,65.00,80.00
"B-26D","999-9999",30,0.80,8.00
"B-26D","999-9999",40,92.00,102.00
"B-26D","999-9999",50,0.00,0.00
"B-26D","999-9999",60,0.00,0.20
"B-26D","999-9999",70,0.20,0.80
"B-26D","999-9999",80,4.80,6.80
"B-26D","999-9999",90,6.80,21.50
"B-26D","999-9999",100,32.50,35.50
"B-26D","999-9999",110,27.50,30.50
"B-26D","999-9999",120,6.50,9.50
"B-26D","999-9999",130,0.80,1.80
"B-26D","999-9999",140,0.10,0.30
"B-26D","999-9999",150,0.00,0.10
"B-26D","999-9999",160,55.00,65.00
"B-26DR","999-9999",10,2.65,0.00
"B-26DR","999-9999",20,65.00,75.00
"B-26DR","999-9999",30,0.00,5.00
"B-26DR","999-9999",40,90.00,100.00
"B-26DR","999-9999",50,0.00,0.00
"B-26DR","999-9999",60,0.00,0.00
"B-26DR","999-9999",70,0.20,0.60
"B-26DR","999-9999",80,4.70,6.70
"B-26DR","999-9999",90,16.00,19.00
"B-26DR","999-9999",100,32.50,35.50
"B-26DR","999-9999",110,28.20,32.20
"B-26DR","999-9999",120,9.30,12.30
"B-26DR","999-9999",130,1.20,2.20
"B-26DR","999-9999",140,0.20,0.40
"B-26DR","999-9999",150,0.00,0.10
"B-26DR","999-9999",160,55.00,65.00
"B-26J","999-9999",10,2.60,0.00
"B-26J","999-9999",20,67.20,72.80
"B-26J","999-9999",30,0.30,5.00
"B-26J","999-9999",40,94.00,97.00
"B-26J","999-9999",50,0.00,0.00
"B-26J","999-9999",60,0.00,0.00
"B-26J","999-9999",70,0.20,0.60
"B-26J","999-9999",80,4.70,6.70
"B-26J","999-9999",90,16.00,19.00
"B-26J","999-9999",100,32.50,35.50
"B-26J","999-9999",110,28.20,32.20
"B-26J","999-9999",120,9.30,12.30
"B-26J","999-9999",130,1.20,2.20
"B-26J","999-9999",140,0.10,0.40
"B-26J","999-9999",150,0.00,0.10
"B-26J","999-9999",160,0.00,0.00
"B-26Jカイ","999-9999",10,2.60,0.00
"B-26Jカイ","999-9999",20,67.20,72.80
"B-26Jカイ","999-9999",30,0.20,5.00
"B-26Jカイ","999-9999",40,94.00,97.00
"B-26Jカイ","999-9999",50,0.00,0.00
"B-26Jカイ","999-9999",60,0.00,0.00
