"JuchuuNO","JuchuuDenpyouNO","JuchuuKyotenCD","JuchuuKyotenNM","JuchuuYMD","Nouki","ShukkaKyotenCD","ShukkaBashoCD","JuchuuKBN","HaisouCD","ChikuCD","NouSCD","NouSSNM","UserHinban","UserHinmei","ItemCD","ItemNM","JuchuuSuu","NisugataCD","UriKeitaiKBN","Tekiyou1","TankaUnitCD"
1322443,684393,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS03","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","MSB-15","コーテッド　ＭＳＢ－１５","11-MSB-15","コーテッド　ＭＳＢ－１５",300,"紙袋","","AM8:30まで　ガラ引き取り","Kg"
1322446,684396,"410","野間（営）",2026/04/09,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","RL-16S","コーテッド　ＲＬ－１６Ｓ","11-RL-16S","コーテッド　ＲＬ－１６Ｓ",4500,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り AM8:30まで","Kg"
1322447,684396,"410","野間（営）",2026/04/09,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","RV-3BN","コーテッド　ＲＶ－３ＢＮ","11-RV-3BN","コーテッド　ＲＶ－３ＢＮ",2000,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り AM8:30まで","Kg"
1322448,684396,"410","野間（営）",2026/04/09,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","ARB-16DH","コーテッド　ＡＲＢ－１６ＤＨ","11-ARB-16DH","コーテッド　ＡＲＢ－１６ＤＨ",500,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り AM8:30まで","Kg"
1322449,684396,"410","野間（営）",2026/04/09,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","GTR-12","コーテッド　ＧＴＲ－１２","11-GTR-12","コーテッド　ＧＴＲ－１２",2500,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り AM8:30まで","Kg"
1322450,684396,"410","野間（営）",2026/04/09,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04820","（株）ツチヨシ・マテック　豊橋工場","ARS-18D","コーテッド　ＡＲＳ－１８Ｄ","11-ARS-18D","コーテッド　ＡＲＳ－１８Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り AM8:30まで","Kg"
1322484,684422,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS15","1","1.持込","410-02","410-04374","アイシン高丘（株）　吉良","TC-22","コーテッド　ＴＣ－２２","11-TC-22","コーテッド　ＴＣ－２２",4200,"ﾌﾚｺﾝ(700㎏)","","","Kg"
1322485,684423,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS15","1","1.持込","410-02","410-04374","アイシン高丘（株）　吉良","TC-24K1","コーテッド　ＴＣ－２４改１","11-TC-24K1","コーテッド　ＴＣ－２４改１",1400,"ﾌﾚｺﾝ(700㎏)","","","Kg"
1322486,684424,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS15","1","1.持込","410-02","410-04374","アイシン高丘（株）　吉良","TC-22","コーテッド　ＴＣ－２２","11-TC-22","コーテッド　ＴＣ－２２",3500,"ﾌﾚｺﾝ(700㎏)","","","Kg"
1322487,684425,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS15","1","1.持込","410-02","410-04374","アイシン高丘（株）　吉良","TC-24K1","コーテッド　ＴＣ－２４改１","11-TC-24K1","コーテッド　ＴＣ－２４改１",1400,"ﾌﾚｺﾝ(700㎏)","","","Kg"
1322496,684428,"410","野間（営）",2026/04/09,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81H1","コーテッド　Ｄ－８１Ｈ１","11-D-81H1","コーテッド　Ｄ－８１Ｈ１",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322526,684439,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04402","榊原工業（株）　豊田工場","RS-25","コーテッド　ＲＳ－２５","11-RS-25","コーテッド　ＲＳ－２５",3000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322527,684440,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-05502","（株）ニシオシェル","BE-35AWK","コーテッド　ＢＥ－３５ＡＷ改","11-BE-35AWK","コーテッド　ＢＥ－３５ＡＷ改",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322528,684440,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-05502","（株）ニシオシェル","SB7-40AW","コーテッド　ＳＢ７－４０ＡＷ","11-SB7-40AW","コーテッド　ＳＢ７－４０ＡＷ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322529,684440,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-05502","（株）ニシオシェル","Y-3","コーテッド　Ｙ－３","11-Y-3","コーテッド　Ｙ－３",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322530,684441,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-03096","黒龍産業（株）西尾コールド工場","A-30PR","コーテッド　Ａ－３０ＰＲ","11-SKY-1R","コーテッド　ＳＫＹ－１Ｒ",1000,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322534,684445,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-03096","黒龍産業（株）西尾コールド工場","BG-48SA","コーテッド　ＢＧ－４８ＳＡ","11-BG-48SA","コーテッド　ＢＧ－４８ＳＡ",1500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322535,684445,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-03096","黒龍産業（株）西尾コールド工場","B-25C","コーテッド　Ｂ－２５Ｃ","11-RA-28CJK","コーテッド　ＲＡ－２８ＣＪ改",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322536,684445,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-03096","黒龍産業（株）西尾コールド工場","D-15NU","コーテッド　Ｄ－１５ＮＵ","11-D-15NU","コーテッド　Ｄ－１５ＮＵ",1000,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322537,684446,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-07","410-06672","（有）水野製作所","B-22W","コーテッド　Ｂ－２２Ｗ","11-B-22CW","コーテッド　Ｂ－２２ＣＷ",3000,"ﾌﾚｺﾝ(500Kg)","","袋回収　朝一","Kg"
1322538,684446,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-07","410-06672","（有）水野製作所","RA-32C","コーテッド　ＲＡ－３２Ｃ","11-RA-32C","コーテッド　ＲＡ－３２Ｃ",3000,"ﾌﾚｺﾝ(500Kg)","","袋回収　朝一","Kg"
1322539,684446,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-07","410-06672","（有）水野製作所","DP-11A4","コーテッド　ＤＰ－１１Ａ４","11-DP-11A4","コーテッド　ＤＰ－１１Ａ４",500,"ﾌﾚｺﾝ(500Kg)","","袋回収　朝一","Kg"
1322543,684448,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","B-26CD","コーテッド　Ｂ－２６ＣＤ","11-B-26CD","コーテッド　Ｂ－２６ＣＤ",2000,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322544,684448,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","RA-28","コーテッド　ＲＡ－２８","11-RA-28","コーテッド　ＲＡ－２８",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322545,684449,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","B-26CD","コーテッド　Ｂ－２６ＣＤ","11-B-26CD","コーテッド　Ｂ－２６ＣＤ",2000,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322546,684449,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","RA-28","コーテッド　ＲＡ－２８","11-RA-28","コーテッド　ＲＡ－２８",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322547,684450,"410","野間（営）",2026/04/10,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","B-26CD","コーテッド　Ｂ－２６ＣＤ","11-B-26CD","コーテッド　Ｂ－２６ＣＤ",2500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322548,684450,"410","野間（営）",2026/04/10,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","RA-28","コーテッド　ＲＡ－２８","11-RA-28","コーテッド　ＲＡ－２８",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322549,684451,"410","野間（営）",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","B-26CD","コーテッド　Ｂ－２６ＣＤ","11-B-26CD","コーテッド　Ｂ－２６ＣＤ",2500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322550,684451,"410","野間（営）",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","RA-28","コーテッド　ＲＡ－２８","11-RA-28","コーテッド　ＲＡ－２８",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322551,684452,"410","野間（営）",2026/04/10,2026/04/17,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","B-26CD","コーテッド　Ｂ－２６ＣＤ","11-B-26CD","コーテッド　Ｂ－２６ＣＤ",2000,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322552,684452,"410","野間（営）",2026/04/10,2026/04/17,"310","310-RCS01","1","1.持込","410-02","410-02227","磯貝シェル（株）","RA-28","コーテッド　ＲＡ－２８","11-RA-28","コーテッド　ＲＡ－２８",500,"ﾌﾚｺﾝ(500Kg)","","朝一","Kg"
1322585,684462,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",17000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322586,684462,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322587,684463,"410","野間（営）",2026/04/10,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",18000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322588,684463,"410","野間（営）",2026/04/10,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322589,684463,"410","野間（営）",2026/04/10,2026/04/15,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","BD-16D","コーテッド　ＢＤ－１６Ｄ","11-BD-16D","コーテッド　ＢＤ－１６Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322590,684464,"410","野間（営）",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",15000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322591,684464,"410","野間（営）",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322592,684464,"410","野間（営）",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","BD-16D","コーテッド　ＢＤ－１６Ｄ","11-BD-16D","コーテッド　ＢＤ－１６Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322593,684465,"410","野間（営）",2026/04/10,2026/04/17,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",13000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322594,684465,"410","野間（営）",2026/04/10,2026/04/17,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322597,684467,"410","野間（営）",2026/04/10,2026/04/20,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","D-81","コーテッド　Ｄ－８１","11-D-81","コーテッド　Ｄ－８１",13000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322598,684467,"410","野間（営）",2026/04/10,2026/04/20,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","TP-230","コーテッド　ＴＰ－２３０","11-TP-230","コーテッド　ＴＰ－２３０",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322599,684467,"410","野間（営）",2026/04/10,2026/04/20,"310","310-RCS01","1","1.持込","410-02","410-04126","杉松産業（株）","BD-16D","コーテッド　ＢＤ－１６Ｄ","11-BD-16D","コーテッド　ＢＤ－１６Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322600,684468,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-03349","クロタ精工（株）","KT-26","コーテッド　ＫＴ－２６","11-KT-26","コーテッド　ＫＴ－２６",5000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322601,684468,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-03349","クロタ精工（株）","RS-25","コーテッド　ＲＳ－２５","11-RS-25","コーテッド　ＲＳ－２５",4000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322602,684468,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-03349","クロタ精工（株）","KT-20","コーテッド　ＫＴ－２０","11-KT-20","コーテッド　ＫＴ－２０",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322603,684468,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-03349","クロタ精工（株）","KRS-25","コーテッド　ＫＲＳ－２５","11-KRS-25","コーテッド　ＫＲＳ－２５",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322605,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-04-01","試ＣＡ２９","11-AVOEM-04-01","試ＣＡ２９",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322606,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-09","試２３ＴＳＣ","11-AVOEM-02-09","試２３ＴＳＣ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322607,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-10","試ＪＡＫ２３","11-AVOEM-02-10","試ＪＡＫ２３",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322608,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-11","試Ｋ３５","11-AVOEM-02-11","試Ｋ３５",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322609,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-12","試Ｓ２８ＴＳＣ","11-AVOEM-02-12","試Ｓ２８ＴＳＣ",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322610,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-14","試ＡＯＫ２８","11-AVOEM-02-14","試ＡＯＫ２８",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322611,684470,"310","野間（事）",2026/04/10,2026/04/13,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-03-01","試ＳＲ２７Ｆ","11-AVOEM-03-01","試ＳＲ２７Ｆ",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322612,684471,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-07","410-06482","（株）松尾商店　コーテッド工場","BT-30C","コーテッド　ＢＴ－３０Ｃ","11-BT-30C","コーテッド　ＢＴ－３０Ｃ",2500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322613,684471,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-07","410-06482","（株）松尾商店　コーテッド工場","FB-22NU","コーテッド　ＦＢ－２２ＮＵ","11-FB-22NU","コーテッド　ＦＢ－２２ＮＵ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322614,684471,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-07","410-06482","（株）松尾商店　コーテッド工場","MT-1","コーテッド　ＭＴ－１","11-RA-28CJK","コーテッド　ＲＡ－２８ＣＪ改",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322615,684471,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-07","410-06482","（株）松尾商店　コーテッド工場","RL7-48CS","コーテッド　ＲＬ７－４８ＣＳ","11-RL7-48CS","コーテッド　ＲＬ７－４８ＣＳ",4000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322616,684471,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-07","410-06482","（株）松尾商店　コーテッド工場","RL7-48HW","コーテッド　ＲＬ７－４８ＨＷ","11-RL7-48HW","コーテッド　ＲＬ７－４８ＨＷ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322617,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-03-02","試ＳＫＶ２７","11-AVOEM-03-02","試ＳＫＶ２７",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322618,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-03-03","試ＳＮ２２Ａ","11-AVOEM-03-03","試ＳＮ２２Ａ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322619,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-03-04","試ＳＫＢ２６","11-AVOEM-03-04","試ＳＫＢ２６",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322620,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-03-05","試ＳＲ３５","11-AVOEM-03-05","試ＳＲ３５",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322621,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-06-01","試ＡＪ３４５０","11-AVOEM-06-01","試ＡＪ３４５０",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322622,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-02-13","試ＡＦ２６Ｒ","11-AVOEM-02-13","試ＡＦ２６Ｒ",400,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322623,684472,"310","野間（事）",2026/04/10,2026/04/14,"310","310-RCS01","1","4.引取","310-00","310-02034","旭有機材（株）","AVOEM-05-01","試ＡＦ５２０Ｎ","11-AVOEM-05-01","試ＡＦ５２０Ｎ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322625,684473,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-06067","大崎工業所","B-20D","コーテッド　Ｂ－２０Ｄ","11-B-23D","コーテッド　Ｂ－２３Ｄ",3000,"ﾌﾚｺﾝ(500Kg)","","ｼｪﾙｶﾞﾗ引取り","Kg"
1322628,684475,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02649","（株）ＳＲサービス","SKY-1","コーテッド　ＳＫＹ－１","11-SKY-1","コーテッド　ＳＫＹ－１",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322632,684479,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04563","高浜鋳型工業（株）","A-30P","コーテッド　Ａ－３０Ｐ","11-SKY-1","コーテッド　ＳＫＹ－１",1000,"ﾌﾚｺﾝ(500Kg)","","朝一　ｼｪﾙｶﾞﾗ引取り","Kg"
1322633,684480,"415","北陸(営)",2026/04/10,2026/04/16,"310","310-RCS01","1","1.持込","415-00","415-07653","スギヤマトレードサポート（株）","BF-25S5","コーテッド　ＢＦ－２５Ｓ５","11-BF-25S5","コーテッド　ＢＦ－２５Ｓ５",500,"ﾌﾚｺﾝ(500Kg)","","4/16着山祐に合積、山祐おろし","Kg"
1322642,684483,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02656","（株）ＳＲサービス　－　坂田Ａ棟","SK-25K","コーテッド　ＳＫ－２５改","11-SK-25K","コーテッド　ＳＫ－２５改",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322643,684483,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02656","（株）ＳＲサービス　－　坂田Ａ棟","TT-20M","コーテッド　ＴＴ－２０Ｍ","11-SB-23","コーテッド　ＳＢ－２３",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322644,684483,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02656","（株）ＳＲサービス　－　坂田Ａ棟","Y-3","コーテッド　Ｙ－３","11-Y-3","コーテッド　Ｙ－３",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322645,684483,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02656","（株）ＳＲサービス　－　坂田Ａ棟","YS-1NK","コーテッド　ＹＳ－１ＮＫ","11-YS-1NK","コーテッド　ＹＳ－１ＮＫ",2500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322646,684484,"310","野間（事）",2026/04/10,2026/04/16,"310","310-RCS03","1","4.引取","590-00","590-00590","製鋼事業所（営業）","TT-Y","コーテッド　ＴＴ－Ｙ","11-TT-Y","コーテッド　ＴＴ－Ｙ",225,"紙袋","","","Kg"
1322647,684485,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02660","（株）ＳＲサービス　－　坂田工場","B-30D","コーテッド　Ｂ－３０Ｄ","11-B-30D","コーテッド　Ｂ－３０Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322648,684485,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02660","（株）ＳＲサービス　－　坂田工場","SB-23","コーテッド　ＳＢ－２３","11-SB-23","コーテッド　ＳＢ－２３",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322652,684488,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-05","410-05464","（株）豊田自動織機　東知多工場","ARB-13X","コーテッド　ＡＲＢ－１３Ｘ","11-ARB-13X","コーテッド　ＡＲＢ－１３Ｘ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322653,684489,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","BMG-26D","コーテッド　ＢＭＧ－２６Ｄ","11-B-30D","コーテッド　Ｂ－３０Ｄ",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1322657,684492,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","MC-1","コーテッド　ＭＣ－１","11-MC-1","コーテッド　ＭＣ－１",1000,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1322659,684492,"410","野間（営）",2026/04/10,2026/04/14,"310","310-RCS01","1","1.持込","410-05","410-04966","（株）ディバイスイナ","TT-32ST","コーテッド　ＴＴ－３２ＳＴ","11-TT-32PT","コーテッド　ＴＴ－３２ＰＴ",500,"ﾌﾚｺﾝ(500Kg)","","AM7:00","Kg"
1322683,684508,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-00","410-02653","（株）ＳＲサービス　－　本社工場","BT-48SA","コーテッド　ＢＴ－４８ＳＡ","11-BT-48SA","コーテッド　ＢＴ－４８ＳＡ",1500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322686,684511,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04373","アイシン高丘（株）　本社","RS-25","コーテッド　ＲＳ－２５","11-RS-25","コーテッド　ＲＳ－２５",4000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322687,684512,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04403","クロタ精工（株）　豊田工場","RS-25","コーテッド　ＲＳ－２５","11-RS-25","コーテッド　ＲＳ－２５",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322688,684512,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04403","クロタ精工（株）　豊田工場","RS-25TT","コーテッド　ＲＳ－２５ＴＴ","11-RS-25TT","コーテッド　ＲＳ－２５ＴＴ",4000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322689,684513,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-02","410-04403","クロタ精工（株）　豊田工場","RS-25TT","コーテッド　ＲＳ－２５ＴＴ","11-RS-25TT","コーテッド　ＲＳ－２５ＴＴ",6000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1322742,684539,"410","野間（営）",2026/04/10,2026/04/13,"310","310-RCS01","1","1.持込","410-01","410-07175","（有）山本製作所","BP-16D","コーテッド　ＢＰ－１６Ｄ","11-BP-16D","コーテッド　ＢＰ－１６Ｄ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
