"JuchuuNO","JuchuuDenpyouNO","JuchuuKyotenCD","JuchuuKyotenNM","JuchuuYMD","Nouki","ShukkaKyotenCD","ShukkaBashoCD","JuchuuKBN","HaisouCD","ChikuCD","NouSCD","NouSSNM","UserHinban","UserHinmei","ItemCD","ItemNM","JuchuuSuu","NisugataCD","UriKeitaiKBN","Tekiyou1","TankaUnitCD"
960507,510217,"415","北陸(営)",2021/09/09,2021/09/16,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
962809,511665,"415","北陸(営)",2021/09/22,2021/09/28,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","9/29納入","Kg"
992196,525691,"415","北陸(営)",2022/01/20,2022/01/27,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1023963,540804,"415","北陸(営)",2022/05/31,2022/06/02,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1042781,549412,"415","北陸(営)",2022/08/19,2022/08/24,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1044473,550216,"415","北陸(営)",2022/08/26,2022/09/01,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",500,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1050853,553132,"415","北陸(営)",2022/09/22,2022/09/29,"310","310-RCS01","1","1.持込","415-00","415-06416","（有）本保鋳材","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1055508,555352,"415","北陸(営)",2022/10/12,2022/10/19,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","10/20納入","Kg"
1116908,584269,"415","北陸(営)",2023/07/05,2023/07/07,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","7/10納入","Kg"
1130128,590465,"415","北陸(営)",2023/09/06,2023/09/08,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","9/11納入","Kg"
1136532,593438,"415","北陸(営)",2023/10/04,2023/10/06,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","10/10納入","Kg"
1175300,612116,"415","北陸(営)",2024/04/03,2024/04/11,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2500,"ﾌﾚｺﾝ(500Kg)","","4/12納入","Kg"
1216888,632675,"415","北陸(営)",2024/11/06,2024/11/14,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","11/15納入","Kg"
1278814,663220,"415","北陸(営)",2025/09/17,2025/09/22,"310","310-RCS01","1","1.持込","415-00","415-03896","（株）リケンＣＫＪＶ","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","9/24納入","Kg"
